percentile,control_ms,speculation_ms
4.84196368527236,1302.0,1354.0
4.909213180901143,1306.0,1365.0
4.976462676529926,1308.0,1372.0
5.043712172158709,1312.0,1374.0
5.110961667787492,1312.0,1374.0
5.178211163416274,1320.0,1375.0
5.245460659045057,1332.0,1376.0
5.31271015467384,1333.0,1383.0
5.379959650302623,1340.0,1396.0
5.447209145931406,1349.0,1396.0
5.514458641560188,1363.0,1399.0
5.581708137188971,1363.0,1405.0
5.648957632817754,1375.0,1407.0
5.716207128446537,1379.0,1408.0
5.78345662407532,1382.0,1419.0
5.850706119704102,1383.0,1427.0
5.917955615332885,1386.0,1429.0
5.985205110961668,1389.0,1445.0
6.052454606590451,1392.0,1447.0
6.1197041022192336,1392.0,1447.0
6.186953597848016,1392.0,1447.0
6.254203093476799,1397.0,1453.0
6.321452589105582,1399.0,1461.0
6.388702084734365,1407.0,1468.0
6.4559515803631475,1410.0,1480.0
6.52320107599193,1415.0,1480.0
6.590450571620713,1418.0,1481.0
6.657700067249496,1418.0,1483.0
6.724949562878279,1418.0,1487.0
6.7921990585070615,1422.0,1489.0
6.859448554135844,1422.0,1492.0
6.926698049764627,1426.0,1494.0
6.99394754539341,1429.0,1495.0
7.061197041022193,1429.0,1496.0
7.1284465366509755,1429.0,1500.0
7.195696032279758,1433.0,1505.0
7.262945527908541,1435.0,1508.0
7.330195023537324,1436.0,1512.0
7.397444519166107,1436.0,1514.0
7.4646940147948895,1438.0,1515.0
7.531943510423671,1445.0,1517.0
7.599193006052454,1446.0,1517.0
7.666442501681237,1446.0,1518.0
7.73369199731002,1453.0,1518.0
7.800941492938803,1454.0,1519.0
7.868190988567585,1455.0,1521.0
7.935440484196368,1455.0,1527.0
8.002689979825151,1456.0,1528.0
8.069939475453934,1464.0,1532.0
8.137188971082717,1464.0,1541.0
8.2044384667115,1465.0,1545.0
8.271687962340282,1467.0,1547.0
8.338937457969065,1472.0,1547.0
8.406186953597848,1482.0,1550.0
8.47343644922663,1484.0,1553.0
8.540685944855413,1488.0,1556.0
8.607935440484196,1491.0,1556.0
8.675184936112979,1492.0,1556.0
8.742434431741762,1492.0,1562.0
8.809683927370545,1493.0,1562.0
8.876933422999327,1498.0,1577.0
8.94418291862811,1500.0,1578.0
9.011432414256893,1501.0,1584.0
9.078681909885676,1502.0,1585.0
9.145931405514458,1503.0,1586.0
9.213180901143241,1506.0,1587.0
9.280430396772024,1507.0,1587.0
9.347679892400807,1515.0,1592.0
9.41492938802959,1519.0,1592.0
9.482178883658372,1519.0,1595.0
9.549428379287155,1522.0,1595.0
9.616677874915938,1522.0,1597.0
9.68392737054472,1523.0,1597.0
9.751176866173504,1527.0,1597.0
9.818426361802286,1529.0,1597.0
9.88567585743107,1531.0,1599.0
9.952925353059852,1535.0,1600.0
10.020174848688635,1535.0,1601.0
10.087424344317418,1536.0,1601.0
10.1546738399462,1536.0,1608.0
10.221923335574983,1539.0,1616.0
10.289172831203766,1544.0,1620.0
10.356422326832549,1546.0,1622.0
10.423671822461332,1548.0,1624.0
10.490921318090114,1548.0,1625.0
10.558170813718897,1552.0,1625.0
10.62542030934768,1552.0,1626.0
10.692669804976463,1554.0,1627.0
10.759919300605246,1554.0,1627.0
10.827168796234028,1557.0,1627.0
10.894418291862811,1561.0,1627.0
10.961667787491594,1562.0,1627.0
11.028917283120377,1564.0,1627.0
11.09616677874916,1564.0,1629.0
11.163416274377942,1565.0,1633.0
11.230665770006725,1566.0,1633.0
11.297915265635508,1566.0,1635.0
11.36516476126429,1567.0,1635.0
11.432414256893074,1569.0,1645.0
11.499663752521856,1570.0,1645.0
11.56691324815064,1570.0,1646.0
11.634162743779422,1574.0,1648.0
11.701412239408205,1575.0,1648.0
11.768661735036988,1576.0,1650.0
11.83591123066577,1583.0,1663.0
11.903160726294553,1584.0,1663.0
11.970410221923336,1585.0,1664.0
12.037659717552119,1589.0,1665.0
