worker_id,task_index,predicted_ms,actual_ms,ratio,correction
11,23,1941.713,2035.0,1.0480436604173737,1.0354
5,23,1910.123,1969.0,1.0308236694705,1.0422
1,23,1976.897,1998.0,1.0106748100685063,1.0114
3,7,223.685,4524.0,20.224869794577195,9.2588
4,23,1960.733,1979.0,1.0093164138105495,1.0168
2,7,223.685,4592.0,20.528868721639807,9.2588
7,7,223.685,4543.0,20.309810671256454,9.2588
6,24,1959.276,1997.0,1.0192540509861805,1.0203
10,24,1947.415,1997.0,1.0254619585450457,1.0265
12,24,1936.339,1998.0,1.0318441140730006,1.0326
8,24,1922.945,1999.0,1.0395513132200869,1.0399
9,24,1922.933,2038.0,1.0598393183745871,1.046
11,24,1931.572,1959.0,1.014199833089318,1.0291
5,24,1919.046,1977.0,1.030199380317095,1.0386
1,24,1977.49,1999.0,1.0108774254231374,1.0112
4,24,1966.928,1983.0,1.0081711176006443,1.0142
6,25,1960.158,1999.0,1.0198157495467202,1.0202
10,25,1948.292,1999.0,1.0260268994586028,1.0264
12,25,1936.92,1997.0,1.031018317741569,1.0321
8,25,1923.234,1997.0,1.0383551871483139,1.0394
9,25,1912.034,1958.0,1.024040367483005,1.0394
11,25,1943.525,2037.0,1.0480955994906163,1.0348
5,25,1925.69,1986.0,1.0313186442262254,1.0364
1,25,1977.787,1998.0,1.0102200085246793,1.0109
4,25,1971.957,1990.0,1.0091497938342469,1.0127
3,8,216.01,4382.0,20.286097865839544,9.4812
6,26,1960.452,1998.0,1.0191527260040032,1.0199
10,26,1948.584,1998.0,1.0253599536894482,1.0261
12,26,1937.792,1999.0,1.0315864654204374,1.0319
8,26,1924.099,2000.0,1.0394475544137802,1.0394
9,26,1924.156,2041.0,1.060724806096803,1.0458
11,26,1932.797,1962.0,1.0151091914981243,1.0289
2,8,216.01,4432.0,20.517568631081897,9.4812
7,8,216.01,4434.0,20.52682746169159,9.4812
5,26,1929.742,2051.0,1.0628363791636395,1.0443
1,26,1978.38,2001.0,1.0114335971855761,1.0111
4,26,1974.919,1993.0,1.0091553121925507,1.0116
6,27,1961.04,1999.0,1.019357075837311,1.0197
10,27,1949.169,1999.0,1.0255652537055535,1.0259
12,27,1938.083,1998.0,1.0309156006218516,1.0316
8,27,1924.099,1997.0,1.0378883830821595,1.039
9,27,1912.395,1956.0,1.022801251833434,1.0389
11,27,1943.877,2036.0,1.0473913730138276,1.0344
5,27,1915.092,2031.0,1.060523463102556,1.0492
1,27,1978.083,2000.0,1.0110799192956008,1.0111
4,27,1976.994,1994.0,1.0086019482102626,1.0107
3,9,210.944,4263.0,20.20915503640777,9.6368
6,28,1961.334,1999.0,1.0192042762731894,1.0196
10,28,1949.461,2010.0,1.0310542247318617,1.0275
12,28,1938.664,2011.0,1.0373122934144339,1.0333
8,28,1924.965,1966.0,1.0213172707036233,1.0337
9,28,1925.1,2047.0,1.0633213859020312,1.0462
11,28,1933.437,1966.0,1.0168420279533288,1.0292
5,28,1906.228,1966.0,1.0313561651596765,1.0438
2,9,210.944,4331.0,20.53151547330097,9.6368
7,9,210.944,4326.0,20.5078125,9.6368
1,28,1978.083,1999.0,1.010574379335953,1.0109
4,28,1978.775,1995.0,1.008199517378176,1.01
6,29,1961.629,2012.0,1.0256781481105754,1.0214
10,29,1946.541,2009.0,1.032087174120658,1.0289
12,29,1935.471,2007.0,1.0369568957633568,1.0344
8,29,1934.833,2051.0,1.0600398070531152,1.0416
9,29,1911.623,1971.0,1.031061040801455,1.0417
11,29,1943.347,2047.0,1.053337360749264,1.0364
5,29,1915.999,1973.0,1.029750015527148,1.0396
1,29,1978.38,2000.0,1.0109281331190165,1.0109
4,29,1980.26,2008.0,1.0140082615414137,1.0112
3,10,207.537,4203.0,20.251810520533688,9.7458
6,30,1958.104,2005.0,1.0239496982795602,1.0222
10,30,1943.917,2002.0,1.0298793621332598,1.0292
12,30,1933.441,2002.0,1.0354595769925226,1.0347
8,30,1920.144,2002.0,1.0426301360731278,1.0419
9,30,1919.975,2001.0,1.0422010703264366,1.0418
11,30,1929.743,2004.0,1.038480253588172,1.037
5,30,1923.79,1982.0,1.0302579803408896,1.0368
1,30,1978.38,2009.0,1.015477309718052,1.0123
2,10,207.537,4259.0,20.521641924090645,9.7458
7,10,207.537,4274.0,20.593918192900542,9.7458
4,30,1977.887,2007.0,1.014719243313698,1.0122
6,31,1956.637,2001.0,1.0226730865255027,1.0223
10,31,1943.333,1995.0,1.0265867970131728,1.0284
12,31,1932.861,1995.0,1.0321487163329386,1.034
8,31,1919.568,1996.0,1.0398172922240838,1.0413
9,31,1919.687,2036.0,1.060589564861355,1.0475
11,31,1928.586,1957.0,1.014733073868627,1.0303
5,31,1928.999,1990.0,1.0316231371815123,1.0353
1,31,1975.713,2010.0,1.0173542412283565,1.0138
4,31,1975.812,1993.0,1.0086992082242643,1.0112
6,32,1956.343,1993.0,1.018737511775798,1.0212
10,32,1944.792,2002.0,1.0294159992431067,1.0287
12,32,1934.311,2003.0,1.035510835641218,1.0344
3,11,205.217,4192.0,20.427157594156427,9.822
8,32,1920.72,2001.0,1.0417968261901787,1.0414
9,32,1909.377,1961.0,1.027036567424872,1.0413
11,32,1941.106,2075.0,1.0689782010874214,1.0419
5,32,1931.896,1991.0,1.0305937793752873,1.0339
1,32,1972.753,1998.0,1.0127978515303233,1.0135
2,11,205.217,4228.0,20.602581657465024,9.822
7,11,205.217,4228.0,20.602581657465024,9.822
4,32,1977.889,2000.0,1.0111790904342963,1.0112
6,33,1958.399,2005.0,1.0237954574118961,1.022
10,33,1944.209,2002.0,1.0297246849489947,1.029
12,33,1933.441,2001.0,1.0349423644166023,1.0346
8,33,1920.432,2002.0,1.0424737767335683,1.0417
9,33,1920.612,2041.0,1.0626821034128704,1.0477
11,33,1919.511,1966.0,1.024219189158072,1.0366
5,33,1934.508,1991.0,1.0292022571113688,1.0325
1,33,1973.345,1999.0,1.0130007677319475,1.0134
4,33,1977.889,1995.0,1.0086511427082108,1.0104
6,34,1956.931,2001.0,1.022519444988096,1.0222
10,34,1943.626,2014.0,1.0362075831461404,1.0312
12,34,1933.151,1981.0,1.0247518171110275,1.0316
8,34,1919.856,2013.0,1.0485161387104034,1.0438
9,34,1908.872,1974.0,1.034118578930384,1.0437
11,34,1929.351,2013.0,1.043356030084728,1.0386
3,12,203.624,4162.0,20.439633834911405,9.8754
5,34,1937.123,2002.0,1.0334914200079188,1.0328
1,34,1973.641,1999.0,1.0128488413039656,1.0132
4,34,1979.373,2000.0,1.0104209767436456,1.0104
2,12,203.624,4209.0,20.6704514202648,9.8754
