# produced by tools/final_demo.py from https://p2pgpu.fly.dev
# PROVENANCE: REAL (deployed coordinator, physical devices)
t_sec,workers,devices_seen,tiles_done,total_tasks,units_remaining,asset_from_peer,asset_from_coordinator,asset_from_cache,coordinator_asset_egress,rejected_frames
254.6,0,0,0,0,393216,0,0,0,0,0
255.7,0,0,0,0,393216,0,0,0,0,0
256.8,0,0,0,0,393216,0,0,0,0,0
257.9,0,0,0,0,393216,0,0,0,0,0
259.0,0,0,0,0,393216,0,0,0,0,0
260.1,0,0,0,0,393216,0,0,0,0,0
261.1,0,0,0,0,393216,0,0,0,0,0
262.2,0,0,0,0,393216,0,0,0,0,0
263.3,0,0,0,0,393216,0,0,0,0,0
264.4,0,0,0,0,393216,0,0,0,0,0
265.4,0,0,0,0,393216,0,0,0,0,0
266.5,0,0,0,0,393216,0,0,0,0,0
267.6,0,0,0,0,393216,0,0,0,0,0
268.7,0,0,0,0,393216,0,0,0,0,0
269.8,0,0,0,0,393216,0,0,0,0,0
270.8,0,0,0,0,393216,0,0,0,0,0
271.9,0,0,0,0,393216,0,0,0,0,0
273.0,0,0,0,0,393216,0,0,0,0,0
274.0,0,0,0,0,393216,0,0,0,0,0
275.1,0,0,0,0,393216,0,0,0,0,0
276.2,0,0,0,0,393216,0,0,0,0,0
277.3,0,0,0,0,393216,0,0,0,0,0
278.3,0,0,0,0,393216,0,0,0,0,0
279.4,0,0,0,0,393216,0,0,0,0,0
280.5,0,0,0,0,393216,0,0,0,0,0
281.5,0,0,0,0,393216,0,0,0,0,0
282.6,0,0,0,0,393216,0,0,0,0,0
283.7,0,0,0,0,393216,0,0,0,0,0
284.8,0,0,0,0,393216,0,0,0,0,0
285.8,0,0,0,0,393216,0,0,0,0,0
286.9,0,0,0,0,393216,0,0,0,0,0
288.0,0,0,0,0,393216,0,0,0,0,0
289.1,0,0,0,0,393216,0,0,0,0,0
290.1,0,0,0,0,393216,0,0,0,0,0
291.2,0,0,0,0,393216,0,0,0,0,0
292.3,0,0,0,0,393216,0,0,0,0,0
293.3,0,0,0,0,393216,0,0,0,0,0
294.4,0,0,0,0,393216,0,0,0,0,0
295.5,0,0,0,0,393216,0,0,0,0,0
296.6,0,0,0,0,393216,0,0,0,0,0
297.7,0,0,0,0,393216,0,0,0,0,0
298.7,0,0,0,0,393216,0,0,0,0,0
299.8,0,0,0,0,393216,0,0,0,0,0
300.9,0,0,0,0,393216,0,0,0,0,0
302.0,0,0,0,0,393216,0,0,0,0,0
303.1,0,0,0,0,393216,0,0,0,0,0
304.1,0,0,0,0,393216,0,0,0,0,0
305.2,0,0,0,0,393216,0,0,0,0,0
306.3,0,0,0,0,393216,0,0,0,0,0
307.4,0,0,0,0,393216,0,0,0,0,0
308.5,0,0,0,0,393216,0,0,0,0,0
309.5,0,0,0,0,393216,0,0,0,0,0
310.6,0,0,0,0,393216,0,0,0,0,0
311.7,0,0,0,0,393216,0,0,0,0,0
312.8,0,0,0,0,393216,0,0,0,0,0
313.8,0,0,0,0,393216,0,0,0,0,0
314.9,0,0,0,0,393216,0,0,0,0,0
316.0,0,0,0,0,393216,0,0,0,0,0
317.1,0,0,0,0,393216,0,0,0,0,0
318.2,0,0,0,0,393216,0,0,0,0,0
319.3,0,0,0,0,393216,0,0,0,0,0
320.4,0,0,0,0,393216,0,0,0,0,0
321.4,0,0,0,0,393216,0,0,0,0,0
322.5,0,0,0,0,393216,0,0,0,0,0
323.6,0,0,0,0,393216,0,0,0,0,0
324.7,0,0,0,0,393216,0,0,0,0,0
325.8,0,0,0,0,393216,0,0,0,0,0
326.8,0,0,0,0,393216,0,0,0,0,0
327.9,0,0,0,0,393216,0,0,0,0,0
329.0,0,0,0,0,393216,0,0,0,0,0
330.1,0,0,0,0,393216,0,0,0,0,0
331.2,0,0,0,0,393216,0,0,0,0,0
332.2,0,0,0,0,393216,0,0,0,0,0
333.3,0,0,0,0,393216,0,0,0,0,0
334.4,0,0,0,0,393216,0,0,0,0,0
335.5,0,0,0,0,393216,0,0,0,0,0
336.5,0,0,0,0,393216,0,0,0,0,0
337.6,0,0,0,0,393216,0,0,0,0,0
338.7,0,0,0,0,393216,0,0,0,0,0
339.8,0,0,0,0,393216,0,0,0,0,0
340.8,0,0,0,0,393216,0,0,0,0,0
341.9,0,0,0,0,393216,0,0,0,0,0
343.0,0,0,0,0,393216,0,0,0,0,0
344.1,0,0,0,0,393216,0,0,0,0,0
345.2,0,0,0,0,393216,0,0,0,0,0
346.2,0,0,0,0,393216,0,0,0,0,0
347.3,0,0,0,0,393216,0,0,0,0,0
348.4,0,0,0,0,393216,0,0,0,0,0
349.5,0,0,0,0,393216,0,0,0,0,0
350.5,0,0,0,0,393216,0,0,0,0,0
351.6,0,0,0,0,393216,0,0,0,0,0
352.7,0,0,0,0,393216,0,0,0,0,0
353.7,0,0,0,0,393216,0,0,0,0,0
354.8,0,0,0,0,393216,0,0,0,0,0
355.9,0,0,0,0,393216,0,0,0,0,0
357.0,0,0,0,0,393216,0,0,0,0,0
358.1,0,0,0,0,393216,0,0,0,0,0
359.1,0,0,0,0,393216,0,0,0,0,0
360.2,0,0,0,0,393216,0,0,0,0,0
361.3,0,0,0,0,393216,0,0,0,0,0
362.3,0,0,0,0,393216,0,0,0,0,0
363.6,0,0,0,0,393216,0,0,0,0,0
364.6,0,0,0,0,393216,0,0,0,0,0
365.7,0,0,0,0,393216,0,0,0,0,0
366.8,0,0,0,0,393216,0,0,0,0,0
367.9,0,0,0,0,393216,0,0,0,0,0
368.9,0,0,0,0,393216,0,0,0,0,0
370.0,0,0,0,0,393216,0,0,0,0,0
371.1,0,0,0,0,393216,0,0,0,0,0
372.2,0,0,0,0,393216,0,0,0,0,0
373.2,0,0,0,0,393216,0,0,0,0,0
374.3,0,0,0,0,393216,0,0,0,0,0
375.4,0,0,0,0,393216,0,0,0,0,0
376.5,0,0,0,0,393216,0,0,0,0,0
377.5,0,0,0,0,393216,0,0,0,0,0
378.6,0,0,0,0,393216,0,0,0,0,0
379.7,0,0,0,0,393216,0,0,0,0,0
380.9,0,0,0,0,393216,0,0,0,0,0
382.0,0,0,0,0,393216,0,0,0,0,0
383.1,0,0,0,0,393216,0,0,0,0,0
384.5,0,0,0,0,393216,0,0,0,0,0
385.6,0,0,0,0,393216,0,0,0,0,0
386.8,0,0,0,0,393216,0,0,0,0,0
387.8,0,0,0,0,393216,0,0,0,0,0
388.9,0,0,0,0,393216,0,0,0,0,0
390.0,0,0,0,0,393216,0,0,0,0,0
391.1,0,0,0,0,393216,0,0,0,0,0
392.2,0,0,0,0,393216,0,0,0,0,0
393.3,0,0,0,0,393216,0,0,0,0,0
394.4,0,0,0,0,393216,0,0,0,0,0
395.5,0,0,0,0,393216,0,0,0,0,0
396.6,0,0,0,0,393216,0,0,0,0,0
397.6,0,0,0,0,393216,0,0,0,0,0
398.7,0,0,0,0,393216,0,0,0,0,0
399.8,0,0,0,0,393216,0,0,0,0,0
400.9,0,0,0,0,393216,0,0,0,0,0
402.0,0,0,0,0,393216,0,0,0,0,0
403.0,0,0,0,0,393216,0,0,0,0,0
404.1,0,0,0,0,393216,0,0,0,0,0
405.2,0,0,0,0,393216,0,0,0,0,0
406.3,0,0,0,0,393216,0,0,0,0,0
407.4,0,0,0,0,393216,0,0,0,0,0
408.5,0,0,0,0,393216,0,0,0,0,0
409.6,0,0,0,0,393216,0,0,0,0,0
410.7,0,0,0,0,393216,0,0,0,0,0
411.8,0,0,0,0,393216,0,0,0,0,0
412.8,0,0,0,0,393216,0,0,0,0,0
413.9,0,0,0,0,393216,0,0,0,0,0
415.0,0,0,0,0,393216,0,0,0,0,0
416.1,0,0,0,0,393216,0,0,0,0,0
417.1,0,0,0,0,393216,0,0,0,0,0
418.2,0,0,0,0,393216,0,0,0,0,0
419.3,0,0,0,0,393216,0,0,0,0,0
420.4,0,0,0,0,393216,0,0,0,0,0
421.5,0,0,0,0,393216,0,0,0,0,0
422.6,0,0,0,0,393216,0,0,0,0,0
423.7,0,0,0,0,393216,0,0,0,0,0
424.8,0,0,0,0,393216,0,0,0,0,0
425.9,0,0,0,0,393216,0,0,0,0,0
427.0,0,0,0,0,393216,0,0,0,0,0
428.1,0,0,0,0,393216,0,0,0,0,0
429.1,0,0,0,0,393216,0,0,0,0,0
430.2,0,0,0,0,393216,0,0,0,0,0
431.5,0,0,0,0,393216,0,0,0,0,0
432.6,0,0,0,0,393216,0,0,0,0,0
433.7,0,0,0,0,393216,0,0,0,0,0
434.8,0,0,0,0,393216,0,0,0,0,0
435.9,0,0,0,0,393216,0,0,0,0,0
437.0,0,0,0,0,393216,0,0,0,0,0
438.1,0,0,0,0,393216,0,0,0,0,0
439.2,0,0,0,0,393216,0,0,0,0,0
440.3,0,0,0,0,393216,0,0,0,0,0
441.3,0,0,0,0,393216,0,0,0,0,0
442.7,0,0,0,0,393216,0,0,0,0,0
443.8,0,0,0,0,393216,0,0,0,0,0
444.9,0,0,0,0,393216,0,0,0,0,0
446.0,0,0,0,0,393216,0,0,0,0,0
447.1,0,0,0,0,393216,0,0,0,0,0
448.2,0,0,0,0,393216,0,0,0,0,0
449.3,0,0,0,0,393216,0,0,0,0,0
450.4,0,0,0,0,393216,0,0,0,0,0
451.4,0,0,0,0,393216,0,0,0,0,0
452.5,0,0,0,0,393216,0,0,0,0,0
453.6,0,0,0,0,393216,0,0,0,0,0
454.7,0,0,0,0,393216,0,0,0,0,0
455.7,0,0,0,0,393216,0,0,0,0,0
456.8,0,0,0,0,393216,0,0,0,0,0
457.9,0,0,0,0,393216,0,0,0,0,0
459.0,0,0,0,0,393216,0,0,0,0,0
460.1,0,0,0,0,393216,0,0,0,0,0
461.2,0,0,0,0,393216,0,0,0,0,0
462.2,0,0,0,0,393216,0,0,0,0,0
463.3,0,0,0,0,393216,0,0,0,0,0
464.4,0,0,0,0,393216,0,0,0,0,0
465.7,0,0,0,0,393216,0,0,0,0,0
466.7,0,0,0,0,393216,0,0,0,0,0
467.8,0,0,0,0,393216,0,0,0,0,0
468.9,0,0,0,0,393216,0,0,0,0,0
469.9,0,0,0,0,393216,0,0,0,0,0
471.0,0,0,0,0,393216,0,0,0,0,0
472.1,0,0,0,0,393216,0,0,0,0,0
473.2,0,0,0,0,393216,0,0,0,0,0
474.3,0,0,0,0,393216,0,0,0,0,0
475.3,0,0,0,0,393216,0,0,0,0,0
476.8,0,0,0,0,393216,0,0,0,0,0
477.9,0,0,0,0,393216,0,0,0,0,0
479.0,1,1,0,0,393216,0,0,0,0,0
480.1,1,1,0,0,393216,0,0,0,0,0
481.2,1,1,0,0,393216,0,0,0,0,0
482.2,2,2,0,2,378930,0,0,0,256704,0
483.3,2,2,2,6,346162,0,1,1,513408,0
484.4,2,2,6,9,321586,0,2,4,513408,0
485.5,2,2,11,19,239666,0,2,9,513408,0
486.6,3,3,14,24,198706,0,2,12,513408,0
487.7,3,3,17,24,198706,0,2,15,513408,0
488.9,3,3,18,27,174130,0,2,16,513408,0
490.0,3,3,18,27,174130,0,2,16,513408,0
491.5,3,3,18,27,174130,0,2,16,513408,0
492.6,3,3,18,27,174130,0,2,16,513408,0
493.7,3,3,18,27,174130,0,2,16,513408,0
494.7,3,3,18,27,174130,0,2,16,513408,0
495.8,3,3,18,27,174130,0,2,16,513408,0
496.9,3,3,18,27,174130,0,2,16,513408,0
498.0,3,3,18,27,174130,0,2,16,513408,0
499.1,3,3,18,27,174130,0,2,16,513408,0
500.1,3,3,18,27,174130,0,2,16,513408,0
501.2,3,3,18,27,174130,0,2,16,513408,0
502.3,3,3,18,27,174130,0,2,16,770112,0
503.4,3,3,20,27,174130,0,3,17,770112,0
504.4,3,3,21,27,174130,0,3,18,770112,0
505.5,3,3,22,29,159844,0,3,19,770112,0
506.5,3,3,22,29,159844,0,3,19,770112,0
507.6,3,3,23,29,159844,0,3,20,770112,0
508.7,3,3,24,31,145558,0,3,21,770112,0
509.8,3,3,25,31,145558,0,3,22,770112,0
510.8,3,3,26,33,131272,0,3,23,770112,0
512.0,3,3,27,33,131272,0,3,24,770112,0
513.0,3,3,28,35,116976,0,3,25,770112,0
514.1,3,3,29,35,116976,0,3,26,770112,0
515.2,3,3,30,37,100592,0,3,27,770112,0
516.2,3,3,31,37,100592,0,3,28,770112,0
517.3,3,3,31,37,100592,0,3,28,770112,0
518.4,3,3,36,38,92400,0,3,33,770112,0
519.4,3,3,37,39,84208,0,3,34,770112,0
520.5,3,3,38,39,84208,0,3,35,770112,0
521.6,3,3,38,39,84208,0,3,35,770112,0
522.6,3,3,39,41,67824,0,3,36,770112,0
523.7,3,3,40,41,67824,0,3,37,770112,0
524.8,3,3,41,43,51440,0,3,38,770112,0
525.8,3,3,42,43,51440,0,3,39,770112,0
526.9,3,3,43,45,35056,0,3,40,770112,0
528.0,3,3,44,45,35056,0,3,41,770112,0
529.0,3,3,45,47,18672,0,3,42,770112,0
530.1,3,3,46,47,18672,0,3,43,770112,0
531.2,3,3,46,47,18672,0,3,43,770112,0
532.3,3,3,49,51,7333,0,3,46,770112,0
533.3,2,3,55,57,1044,0,3,52,770112,0
534.4,2,3,58,58,0,0,3,55,770112,0
